d760,Last Name
177,Frodidottir
178,Frostulfdottir
179,Frothidottir
180,Gædadottir
181,Gæiradottir
182,Gæirmundottir
183,Gærhialmdottir
184,Gærrardottir
185,Gætirdottir
186,Galtidottir
187,Gamaldottir
188,Gamlidottir
189,Gardardottir
190,Gardidottir
191,Gaukdottir
192,Gautdottir
193,Gautidottir
194,Gavtvidottir
195,Geirdottir
196,Geirfinndottir
197,Geirleifdottir
198,Geirmundottir
199,Geirolfdottir
200,Geirsteindottir
201,Geirthjofdottir
202,Geitirdottir
203,Geitirgestdottir
204,Gellirdottir
205,Geridottir
206,Gestdottir
207,Giermundottir
208,Gillidottir
209,Gilsdottir
210,Gislidottir
211,Gizordottir
212,Gizurdottir
213,Glamdottir
214,Glumdottir
215,Gnupadottir
216,Gnupidottir
217,Gormdottir
218,Granidottir
219,Gretterdottir
220,Grettirdottir
221,Grimdottir
222,Grimardottir
223,Grimkeldottir
224,Grimolfdottir
225,Grimwaldottir
226,Grindottir
227,Griotgardottir
228,Grisdottir
229,Grithdottir
230,Grjotgardottir
231,Gudadottir
232,Gudbrandottir
233,Gudlaugdottir
234,Gudleifdottir
235,Gudmundottir
236,Gudrikdottir
237,Gudrodottir
238,Gudværdottir
239,Gufidottir
240,Gullidottir
241,Gunbjorndottir
242,Gunnaldottir
243,Gunnardottir
244,Gunnbjorndottir
245,Gunnhautrdottir
246,Gunnidottir
247,Gunnkeldottir
248,Gunnlæifdottir
249,Gunnlaugdottir
250,Gunnleifdottir
251,Gunnsteindottir
252,Gunnulfdottir
253,Gunnvidottir
254,Guthheredottir
255,Guthormdottir
256,Guthrothdottir
257,Guthrumdottir
258,Gylfidottir
259,Gyrdottir
260,Hämingdottir
261,Hæfnirdottir
262,Hælæifdottir
263,Hælgidottir
264,Hæmingdottir
265,Hængdottir
266,Haddottir
267,Hafdottir
268,Hafgrimdottir
269,Haflididottir
270,Hafrdottir
271,Hagidottir
272,Hakidottir
273,Haklangdottir
274,Hakondottir
275,Halfdandottir
276,Halftandottir
277,Halldottir
278,Halladottir
279,Hallbjorndottir
280,Halldordottir
281,Hallfredottir
282,Hallfridottir
283,Hallgrimdottir
284,Hallidottir
285,Hallkeldottir
286,Hallmundottir
287,Hallsteindottir
288,Hallvardottir
289,Halvdandottir
290,Hamdottir
291,Hamundottir
292,Hanefdottir
293,Haraldottir
294,Hardbeindottir
295,Hardrefildottir
296,Harekdottir
297,Hasteindottir
298,Haukdottir
299,Havardottir
300,Hedindottir
301,Heggdottir
302,Helgidottir
303,Hemingdottir
304,Heriolfdottir
305,Herjolfdottir
306,Herlaugdottir
307,Herludottir
308,Hermundottir
309,Hersteindottir
310,Hialtidottir
311,Hildiglumdottir
312,Hildirdottir
313,Hiorvardottir
314,Hjalkardottir
315,Hjaltidottir
316,Hjarrandidottir
317,Hjordottir
318,Hjorleifdottir
319,Hjortdottir
320,Hjorvarthdottir
321,Hlennidottir
322,Hlodvirdottir
323,Hognidottir
324,Holmfastdottir
325,Holmgavtdottir
326,Holmgeirdottir
327,Holmstæindottir
328,Holmsteindottir
329,Hordottir
330,Hoskuldottir
331,Hosvirdottir
332,Hottdottir
333,Hrærekdottir
334,Hrafndottir
335,Hrafnkeldottir
336,Hrafnvartrdottir
337,Hragnelfdottir
338,Hranfastdottir
339,Hranidottir
340,Hrappdottir
341,Hreidadottir
342,Hreidardottir
343,Hreindottir
344,Hreitharrdottir
345,Hrifladottir
346,Hringdottir
347,Hroaldottir
348,Hroardottir
349,Hrodgæirdottir
350,Hrodgeirdottir
351,Hrodidottir
352,Hrokdottir
353,Hrolfdottir
354,Hrollaugdottir
355,Hromundottir
356,Hrossbjorndottir
357,Hrosskeldottir
358,Hrosskelldottir
359,Hrossketildottir
360,Hrutdottir
361,Hunbogidottir
362,Hundidottir
363,Hundolfrdottir
364,Hvitserkdottir
365,Iarldottir
366,Iarlabankidottir
367,Iarundottir
368,Illugidottir
369,Ingemardottir
370,Ingidottir
371,Ingibjorgdottir
372,Ingifastdottir
373,Ingimardottir
374,Ingimundottir
375,Ingjaldottir
376,Ingolfdottir
377,Ingulbjörndottir
378,Ingvardottir
379,Iogæirdottir
380,Ioketilldottir
381,Iorthrdottir
382,Iorundottir
383,Irenmundottir
384,Iridottir
385,Iricdottir
386,Isgautdottir
387,Isidottir
388,Isleifdottir
389,Isulfdottir
390,Iulidottir
391,Ivardottir
392,Jarlabankidottir
393,Jarlebankedottir
394,Jarnskeggidottir
395,Jobjorndottir
396,Johandottir
397,Jokuldottir
398,Jomardottir
399,Jondottir
400,Jorundottir
401,Käredottir
402,Kætiløydottir
403,Kætildottir
404,Kætilfastdottir
405,Kætilmundottir
406,Kabbidottir
407,Kadaldottir
408,Kalfdottir
409,Kardottir
410,Karidottir
411,Karldottir
412,Karlidottir
413,Karsidottir
414,Kaupmanndottir
415,Ketildottir
416,Ketilbiorndottir
417,Ketilbjorndottir
418,Ketilldottir
419,Kispingdottir
420,Kjallakdottir
421,Kjartandottir
422,Kjotvidottir
423,Klakkrdottir
424,Knútrdottir
425,Knutdottir
426,Kodrandottir
427,Koigrimdottir
428,Koldottir
429,Kolbeindottir
430,Kolfinndottir
431,Kolldottir
432,Kollskeggdottir
433,Kollsveindottir
434,Kolskeggdottir
435,Konaldottir
436,Koridottir
437,Kormakdottir
438,Kotkeldottir
439,Kotkelldottir
440,Krakidottir
441,Kveldulfdottir
442,Lambidottir
443,Leidolfdottir
444,Leifdottir
445,Leiknirdottir
446,Lifolfdottir
447,Lifstændottir
448,Linidottir
449,Liutdottir
450,Ljotdottir
451,Lodindottir
452,Lodmundottir
453,Loptdottir
454,Ludindottir
455,Lytingdottir
456,Magnusdottir
457,Makdottir
458,Mannidottir
459,Mardottir
460,Meldundottir
461,Modolfdottir
462,Moldofdottir
463,Mordottir
464,Mursidottir
465,Nærfidottir
466,Naddodottir
467,Nafnidottir
468,Nasidottir
469,Nefsteindottir
470,Nikolasdottir
471,Njaldottir
472,Northridottir
473,Oddottir
474,Oddløgdottir
475,Oddleifdottir
476,Odinkardottir
477,Ofeigdottir
478,Ofiegdottir
479,Ogmundottir
480,Olædottir
481,Olæifdottir
482,Olafdottir
483,Oleifdottir
484,Olvirdottir
485,Onämdottir
486,Ondottdottir
487,Onemdottir
488,Onguldottir
489,Onundottir
490,Orøkiadottir
491,Orestdottir
492,Orgumleididottir
493,Orlygdottir
494,Ormdottir
495,Orndottir
496,Ornolfdottir
497,Ornulfdottir
498,Orridottir
499,Orrindottir
500,Ospakdottir
501,Osvaldottir
502,Osvifdottir
503,Oswaldottir
504,Otkeldottir
505,Otryggdottir
506,Ottardottir
507,Oystæindottir
508,Ozurdottir
509,Pauldottir
510,Ragidottir
511,Ragnardottir
512,Ragnfastdottir
513,Ragnvaldottir
514,Raudebjorndottir
515,Refdottir
516,Regindottir
517,Reinndottir
518,Rodmardottir
519,Rognvaldottir
520,Runolfdottir
521,Sæbbidottir
522,Sæmundottir
523,Sævildottir
524,Saksidottir
525,Samdottir
526,Saxidottir
527,Selkollrdottir
528,Serkdottir
529,Sibbidottir
530,Sigbjorndottir
531,Sigbrandottir
532,Sigebeorhtdottir
533,Sigeferthdottir
534,Sigegardottir
535,Sigeheahdottir
536,Sigehelmdottir
537,Sigeheredottir
538,Sigelacdottir
539,Sigemærdottir
540,Sigemundottir
541,Sigenothdottir
542,Sigerædottir
543,Sigericdottir
544,Sigestældottir
545,Sigeweardottir
546,Sigewinedottir
547,Sigewulfdottir
548,Sigfastdottir
549,Sigfusdottir
550,Sigguatrdottir
551,Sighaddottir
552,Sighvatdottir
553,Sigmundottir
554,Sigtryggdottir
555,Sigurdottir
556,Sigvaldidottir
557,Sigvatdottir
558,Sigvidottir
559,Sinfiotlidottir
560,Singasvendottir
561,Skœdirdottir
562,Skallagrimdottir
563,Skamkeldottir
564,Skapdottir
565,Skaptidottir
566,Skardottir
567,Skardidottir
568,Skarfdottir
569,Skeggdottir
570,Skeggidottir
571,Skialgdottir
572,Skididottir
573,Skjaldulfdottir
574,Skjoldottir
575,Skoptidottir
576,Skorridottir
577,Skufdottir
578,Skuldottir
579,Skulidottir
580,Skurfadottir
581,Skutidottir
582,Slodedottir
583,Slodidottir
584,Slothidottir
585,Snæ-Ulfdottir
586,Snæbjorndottir
587,Snækoldottir
588,Snorridottir
589,Sodottir
590,Sokkolfdottir
591,Solmundottir
592,Solvidottir
593,Sorlidottir
594,Spiallbudidottir
595,Spiutdottir
596,Spjutdottir
597,Stækardottir
598,Starkadottir
599,Starolfdottir
600,Starridottir
601,Steindottir
602,Steinardottir
603,Steinbitrdottir
604,Steinbjorndottir
605,Steingrimdottir
606,Steinkeldottir
607,Steinketilldottir
608,Steinmodottir
609,Steinolfdottir
610,Steinthordottir
611,Steinunndottir
612,Stigandidottir
613,Storolfdottir
614,Stufdottir
615,Sturladottir
616,Styrdottir
617,Styrbiorndottir
618,Styrkardottir
619,Styrkollrdottir
620,Styrmirdottir
621,Suitdottir
622,Sumarlidottir
623,Sumarlididottir
624,Surtdottir
625,Svæindottir
626,Svafardottir
627,Svalfidottir
628,Svandottir
629,Svartdottir
630,Svartbrandottir
631,Svartgeirrdottir
632,Svartkollrdottir
633,Svartlingrdottir
634,Sveindottir
635,Sveinbjorndottir
636,Svendottir
637,Svenidottir
638,Svertingdottir
639,Svinulfdottir
640,Svipdaydottir
641,Sweindottir
642,Teitdottir
643,Thangbrandottir
644,Thialfidottir
645,Thidrandidottir
646,Thidrikdottir
647,Thiodolfdottir
648,Thjodofldottir
649,Thjodoftdottir
650,Thjostolfdottir
651,Thokodolfdottir
652,Thometilldottir
653,Thoraldottir
654,Thoraldrdottir
655,Thorarindottir
656,Thorbergdottir
657,Thorbjorndottir
658,Thorbrandottir
659,Thordottir
660,Thorfastdottir
661,Thorfinndottir
662,Thorfrethrdottir
663,Thorgautdottir
664,Thorgeirdottir
665,Thorgestdottir
666,Thorgilsdottir
667,Thorgrimdottir
668,Thorhalldottir
669,Thorirdottir
670,Thorkeldottir
671,Thorkelldottir
672,Thorketildottir
673,Thorlakdottir
674,Thorleifdottir
675,Thorleikdottir
676,Thormardottir
677,Thormodottir
678,Thormothrdottir
679,Thoroardottir
680,Thorodottir
681,Thoroddottir
682,Thorolfdottir
683,Thorormdottir
684,Thorredottir
685,Thorstardottir
686,Thorsteindottir
687,Thorvaldottir
688,Thorvardottir
689,Thorvidottir
690,Thraindottir
691,Thrandottir
692,Throstdottir
693,Tjorvidottir
694,Tofidottir
695,Tokidottir
696,Toladottir
697,Toredottir
698,Torfidottir
699,Torradottir
700,Torstendottir
701,Tostidottir
702,Trandildottir
703,Trudottir
704,Tryggdottir
705,Tryggvidottir
706,Tufidottir
707,Tumidottir
708,Tyrfingdottir
709,Tyrkirdottir
710,Ubbeindottir
711,Ufidottir
712,Uglubathrdottir
713,Ulfdottir
714,Ulfardottir
715,Ulfbjorndottir
716,Ulfgrimdottir
717,Ulfketildottir
718,Ulfljotdottir
719,Ulfrikdottir
720,Ulvkildottir
721,Unidottir
722,Unndottir
723,Unnulfdottir
724,Värmodottir
725,Valbrandottir
726,Valgardottir
727,Validottir
728,Valthjofdottir
729,Vandildottir
730,Vandradottir
731,Vardottir
732,Varindottir
733,Vathlaussdottir
734,Vebjorndottir
735,Vebrandottir
736,Vegeirdottir
737,Vekeldottir
738,Veleifdottir
739,Vermundottir
740,Vertlithidottir
741,Vestardottir
742,Vesteindottir
743,Vestgeirdottir
744,Veturlididottir
745,Vidkunndottir
746,Vifildottir
747,Vigbjordottir
748,Vigfusdottir
749,Vigidottir
750,Vigotdottir
751,Vikardottir
752,Visätedottir
753,Vogdottir
754,Vottdottir
755,Waltheofdottir
756,Warydottir
757,Wealglistdottir
758,Wengodottir
759,Yngvardottir
760,Ysoppadottir
